Affluence,Disadvantage,Violent,UrbanRate,Latitude,Longtitude,avemort
0.331948744,-0.308478758,1.4824,0.55437,32.536,-86.644,1.1129
0.754157233,-0.633088317,0.65107,0.45371,30.659,-87.746,0.94396
-0.387885871,0.296085079,0.079953,0.29527,31.87,-85.405,1.089
-0.769552561,0.119206596,-2.9957,0.18174,33.016,-87.127,1.1607
-0.434293881,-0.596624229,0.55953,0.092016,33.977,-86.567,1.0487
-1.063453291,1.45277313,-2.9957,0.38407,32.102,-85.717,1.1816
-0.723691028,1.413559072,-2.3339,0.24707,31.752,-86.682,1.133
-0.143248155,0.176045966,1.8206,0.69137,33.772,-85.823,1.1893
-0.821209814,0.395056809,1.4229,0.50346,32.916,-85.394,1.1531
-0.686706989,-0.652718336,-1.7445,0,34.07,-85.654,1.1047
-0.542034204,-0.490429721,0.24822,0.12063,32.854,-86.727,1.136
-0.551970329,0.755455036,-1.4301,0,31.991,-88.249,1.0547
-0.426390904,1.049907946,0.65143,0.25611,31.686,-87.819,1.0892
-0.955432509,-0.160530172,-1.1074,0,33.268,-85.862,1.1006
-0.81692069,-0.4031071,-0.60791,0,33.672,-85.516,1.1449
0.110097969,-0.063191989,0.9008,0.44572,31.402,-85.99,1.0192
-0.199378655,-0.285245214,0.37114,0.52928,34.703,-87.801,1.0692
-0.871721216,1.303374325,0.48054,0,31.428,-86.992,1.127
-0.907401008,0.271126367,0.77055,0.026143,32.931,-86.243,1.0754
-0.539956716,0.329199155,-2.9957,0.28035,31.244,-86.449,1.0883
-0.786646289,0.140237234,1.9646,0,31.733,-86.319,1.1266
-0.364693525,-0.728549967,0.20129,0.24315,34.132,-86.869,1.101
-0.333810818,0.431149722,1.3718,0.45169,31.431,-85.609,1.0368
-0.492599658,2.147778146,2.5048,0.52699,32.334,-87.114,1.2506
-0.73586604,-0.372558958,-0.94069,0.11748,34.461,-85.804,1.0807
0.276286332,-0.452241419,0.39501,0.37547,32.597,-86.143,1.0653
-0.596476571,0.415364453,1.5555,0.39246,31.122,-87.168,1.1633
-0.256531712,0.006332131,0.36729,0.60145,34.048,-86.035,1.1876
-0.852973526,0.253556956,0.54793,0.21611,33.716,-87.764,1.1077
-0.690834357,-0.210158119,-0.020969,0.27435,34.442,-87.843,1.1971
-0.821829256,0.322963328,0.83245,0.13166,31.092,-85.821,1.0872
-0.773146664,2.429327145,0.90139,0,32.844,-87.964,1.1053
-0.818888819,1.003411637,-1.5416,0.15159,32.753,-87.623,1.1531
-0.37108762,0.123145619,1.2101,0,31.517,-85.24,1.075
0.263019864,-0.157213402,1.3913,0.65115,31.158,-85.296,1.0206
-0.523991019,-0.39323636,0.57171,0.23718,34.764,-85.98,1.1617
0.954792766,0.307265843,1.9004,0.89289,33.553,-86.897,1.1221
-0.981186656,0.131346232,-0.71312,0,33.787,-88.087,1.1126
0.163870422,-0.229732963,0.67268,0.48203,34.904,-87.651,0.9995
-0.507916339,-0.040540921,-1.383,0.074563,34.53,-87.322,1.1577
0.855789939,-0.109942349,2.0704,0.66865,32.604,-85.353,1.0391
