xx,yy
-101.4077988,29.742239
-100.6629486,28.95728683
-99.71757507,27.66240311
-99.50558472,27.37019348
-99.04721832,26.41335487
-97.70648956,26.03520203
-97.16790771,25.96644783
-97.21947479,26.01228333
-97.54606628,27.00922966
-97.5345993,27.24414253
-97.73514557,27.36446571
-97.72368622,27.39311218
-97.5345993,27.39311218
-97.4257431,27.37592506
-97.38563538,27.73688698
-97.48876953,27.88012695
-97.13926697,27.8915844
-97.19083405,28.1895237
-96.94445801,28.18379402
-96.8527832,28.40151787
-96.72673798,28.42443657
-96.55484772,28.49319077
-96.58349609,28.67080879
-96.40014648,28.63070107
-96.38295746,28.67080879
-96.21107483,28.74529076
-96.18242645,28.61924171
-95.99334717,28.66507721
-96.1251297,28.55621719
-95.17974854,29.16355133
-94.92192078,29.4672184
-94.96775818,29.7193203
-94.70992279,29.78234673
-94.75576019,29.5588932
-94.63543701,29.52451324
-94.68127441,29.46148872
-93.20304871,29.81099319
-92.21183014,29.59326935
-92.13161469,29.67348289
-92.10296631,29.7651577
-91.8795166,29.75369644
-91.63887024,29.70213318
-90.81381226,29.10625648
-90.47576904,29.27814293
-90.26377106,29.18647003
-90.06896973,29.28960228
-89.93145752,29.47867966
-89.35276794,29.05468941
-89.04337311,29.14636421
-89.62206268,29.61045837
-89.22098541,30.00580025
-89.23817444,30.16049957
-89.74237823,29.93704414
-89.77675629,30.06882477
-89.74237823,30.17195702
-89.85124207,30.16049957
-90.41846466,30.11466217
-90.1205368,30.38395309
-89.43871307,30.24644089
-88.7970047,30.41832924
-88.12091064,30.44124794
-87.98912811,30.79075241
-87.8286972,30.28654861
-87.88026428,30.24644089
-87.17552948,30.51573181
-86.98645782,30.47562408
-87.078125,30.40114212
-86.13847351,30.45270538
-86.30463409,30.44697952
-86.43067932,30.44124794
-85.78324127,30.25217056
-85.63427734,30.1318512
-85.34779358,29.72505188
-85.45665741,29.81672287
-85.21601868,29.72505188
-84.36803436,29.9943428
-83.94404602,30.08028221
-82.88407135,29.17500877
-82.63770294,28.71664619
-82.76948547,27.83428955
-82.63197327,27.80564117
-82.63770294,28.01763535
-82.46581268,27.93169403
-82.54029846,27.67386246
-82.60332489,27.43321991
-82.16214752,26.82015419
-82.1678772,26.95766449
-82.09339905,26.88891029
-81.91577911,26.44200134
-81.63503265,25.90915108
-81.17665863,25.47370338
-80.9589386,25.23306084
-81.17665863,25.23879051
-80.60943604,25.19295502
-80.35733032,25.46224594
-80.09950256,26.16698265
-80.17971039,27.14101028
-80.76412964,28.74529076
-81.47460175,30.59594536
-81.50325012,31.10588074
-81.18239594,31.72467232
-80.78131866,32.22887421
-80.74121094,32.36638641
-80.4948349,32.45806122
-79.92188263,32.79037476
-79.2171402,33.24874115
-79.22286987,33.31749725
-78.46657562,33.86753464
-77.95090485,34.02223587
-77.42378998,34.5837326
-77.35503387,34.6983223
-77.20606232,34.60092163
-77.08000946,34.70405579
-76.40392303,34.84729385
-76.38100433,34.93896484
-76.56435394,35.00199127
-76.94823456,34.98480225
-76.97688293,35.07647705
-76.63310242,35.04782867
-76.59872437,35.15095901
-76.56435394,35.32284927
-76.83937073,35.46035767
-76.59872437,35.48327637
-76.54715729,35.48327637
-76.06015015,35.38014603
-75.71064758,35.77548599
-75.93409729,35.90726471
-76.11171722,35.67235184
-76.07733917,35.98175049
-76.71904755,35.97029114
-76.70186615,36.14217758
-76.43257141,36.0906105
-76.2721405,36.17655563
-76.1346283,36.21093369
-75.96847534,36.25104141
-75.83670044,36.18801498
-76.00285339,36.55470657
-75.96847534,36.56616592
-75.74502563,36.20520401
-76.08879089,36.89274979
-76.30651855,36.90421295
-76.48413849,36.88702393
-76.93104553,37.21360779
-76.61019135,37.17350388
-76.28359985,37.01307678
-76.51851654,37.27090454
-76.43257141,37.33393097
-76.26068115,37.43706131
-76.37527466,37.5287323
-76.56435394,37.73500061
-76.32943726,37.71208191
-76.31224823,37.92407608
-77.02845001,38.34233475
-76.97688293,38.38244247
-76.34089661,38.14179993
-76.54142761,38.41109085
-76.42111206,38.3996315
-76.51851654,38.93247986
-76.52997589,39.15593338
-76.54142761,39.25333786
-76.00285339,39.48825073
-75.94555664,39.45960617
-76.23203278,39.06426239
-76.16900635,39.04134369
-76.25495148,38.83507919
-76.24922943,38.73194504
-76.1346283,38.60016632
-76.26641083,38.61735535
-76.26068115,38.48557663
-76.03723145,38.31368637
-75.85961151,38.21055603
-75.87107086,38.13607025
-75.87680054,38.01002121
-75.72782898,37.91261673
-75.95701599,37.39122391
-75.96273804,37.3740387
-75.97420502,37.13339615
-75.29811859,38.10742188
-75.33822632,37.84959412
-75.11476898,38.56578827
-75.13195801,38.66318893
-75.18351746,38.79497147
-75.55021667,39.6085701
-74.98298645,39.17312622
-74.95433807,38.97831726
-74.61056519,39.25333786
-74.07198334,40.02109909
-73.95738983,40.33622742
-74.19229889,40.4336319
-73.94020844,40.89199829
-73.81988525,40.85762024
-73.0979538,41.18420792
-71.55097198,41.38474274
-71.41918945,41.60246658
-71.34470367,41.46495438
-70.7717514,41.6654892
-70.64569855,41.63111115
-70.21024323,41.65402985
-69.94669342,41.64257431
-70.16440582,42.08374786
-70.02690125,41.91186523
-70.33629608,41.72278595
-70.61704254,42.02645493
-71.02384186,42.2613678
-70.76029205,42.55930328
-70.85769653,42.79421997
-70.12430573,43.80262375
-69.83209229,43.80262375
-69.39091492,43.98596954
-69.25340271,43.99742889
-68.85233307,44.46725464
-68.78358459,44.39850235
-68.68618011,44.26099014
-68.48564148,44.43860626
-68.37678528,44.43860626
-68.13040924,44.42714691
