"V1","V2","V3"
1,25,90
1,90,89
1,89,88
1,88,3
1,3,4
1,4,2
1,2,25
2,28,27
2,27,26
2,26,25
2,4,5
2,5,6
2,6,28
3,88,87
3,87,86
3,86,85
3,85,7
3,7,4
4,7,60
4,60,59
4,59,58
4,58,5
5,58,57
5,57,56
5,56,8
5,8,6
6,31,30
6,30,29
6,29,28
6,8,31
7,85,84
7,84,9
7,9,61
7,61,60
8,32,31
8,56,55
8,55,10
8,10,32
9,84,83
9,83,11
9,11,62
9,62,61
10,33,32
10,55,54
10,54,12
10,12,33
11,83,82
11,82,13
11,13,63
11,63,62
12,34,33
12,54,53
12,53,14
12,14,34
13,82,81
13,81,15
13,15,64
13,64,63
14,35,34
14,53,52
14,52,16
14,16,35
15,81,80
15,80,17
15,17,65
15,65,64
16,36,35
16,52,51
16,51,18
16,18,36
17,80,79
17,79,19
17,19,66
17,66,65
18,37,36
18,51,50
18,50,20
18,20,37
19,79,78
19,78,77
19,77,21
19,21,68
19,68,67
19,67,66
20,39,38
20,38,37
20,50,49
20,49,48
20,48,22
20,22,39
21,77,76
21,76,23
21,23,69
21,69,68
22,40,39
22,48,47
22,47,24
22,24,40
23,76,75
23,75,74
23,74,73
23,73,72
23,72,71
23,71,70
23,70,69
24,47,46
24,46,45
24,45,44
24,44,43
24,43,42
24,42,41
24,41,40
