"node1","node2","node3"
1,51,50
1,50,81
1,81,80
1,80,8
1,8,2
1,2,51
2,52,51
2,8,9
2,9,10
2,10,3
2,3,52
3,10,4
3,4,53
3,53,52
4,54,53
4,10,11
4,11,5
4,5,54
5,55,54
5,11,12
5,12,13
5,13,6
5,6,55
6,13,7
6,7,56
6,56,55
7,59,58
7,58,57
7,57,56
7,13,14
7,14,59
8,80,15
8,15,16
8,16,9
9,16,10
10,16,17
10,17,11
11,17,18
11,18,19
11,19,12
12,19,13
13,19,20
13,20,14
14,61,60
14,60,59
14,20,21
14,21,61
15,80,79
15,79,78
15,78,22
15,22,16
16,22,23
16,23,17
17,23,24
17,24,25
17,25,18
18,25,19
19,25,26
19,26,20
20,26,27
20,27,28
20,28,21
21,28,61
22,78,77
22,77,29
22,29,23
23,29,30
23,30,31
23,31,24
24,31,25
25,31,32
25,32,26
26,32,33
26,33,34
26,34,27
27,34,28
28,35,62
28,62,61
28,34,35
29,77,36
29,36,37
29,37,30
30,37,31
31,37,38
31,38,32
32,38,39
32,39,40
32,40,33
33,40,34
34,40,41
34,41,35
35,64,63
35,63,62
35,41,42
35,42,64
36,77,76
36,76,75
36,75,43
36,43,37
37,43,44
37,44,38
38,44,45
38,45,46
38,46,39
39,46,40
40,46,47
40,47,41
41,47,48
41,48,49
41,49,42
42,49,64
43,75,74
43,74,73
43,73,72
43,72,44
44,72,71
44,71,45
45,71,70
45,70,46
46,70,69
46,69,47
47,69,68
47,68,48
48,68,67
48,67,49
49,67,66
49,66,65
49,65,64
