"X","Y"
-0.683,-0.249
-0.683,-0.033
-0.683,0.184
-0.683,0.401
-0.466,-0.466
-0.466,-0.249
-0.466,-0.033
-0.466,0.184
-0.466,0.401
-0.466,0.618
-0.249,-0.683
-0.249,-0.466
-0.249,-0.249
-0.249,-0.033
-0.249,0.184
-0.249,0.401
-0.249,0.618
-0.033,-0.683
-0.033,-0.466
-0.033,-0.249
-0.033,0.184
-0.033,0.401
-0.033,0.618
0.184,-0.683
0.184,-0.466
0.184,-0.249
0.184,0.184
0.184,0.401
0.184,0.618
0.401,-0.683
0.401,-0.466
0.401,-0.249
0.401,0.184
0.401,0.401
0.401,0.618
0.618,-0.683
0.618,-0.466
0.618,-0.249
0.618,0.184
0.618,0.401
0.618,0.618
0.835,-0.683
0.835,-0.466
0.835,-0.249
0.835,0.184
0.835,0.401
0.835,0.618
1.052,-0.683
1.052,-0.466
1.052,-0.249
1.052,0.184
1.052,0.401
1.052,0.618
1.269,-0.683
1.269,-0.466
1.269,-0.249
1.269,0.184
1.269,0.401
1.269,0.618
1.486,-0.683
1.486,-0.466
1.486,-0.249
1.486,0.184
1.486,0.401
1.486,0.618
1.702,-0.683
1.702,-0.466
1.702,-0.249
1.702,0.184
1.702,0.401
1.702,0.618
1.919,-0.683
1.919,-0.466
1.919,-0.249
1.919,0.184
1.919,0.401
1.919,0.618
2.136,-0.683
2.136,-0.466
2.136,-0.249
2.136,0.184
2.136,0.401
2.136,0.618
2.353,-0.683
2.353,-0.466
2.353,-0.249
2.353,0.184
2.353,0.401
2.353,0.618
2.57,-0.683
2.57,-0.466
2.57,-0.249
2.57,0.184
2.57,0.401
2.57,0.618
2.787,-0.683
2.787,-0.466
2.787,-0.249
2.787,0.184
2.787,0.401
2.787,0.618
3.004,-0.683
3.004,-0.466
3.004,-0.249
3.004,0.184
3.004,0.401
3.004,0.618
3.22,-0.683
3.22,-0.466
3.22,0.401
3.22,0.618
-0.9,0
-0.851,0.164
-0.802,0.328
-0.753,0.492
-0.645,0.592
-0.537,0.692
-0.428,0.792
-0.286,0.828
-0.143,0.864
0,0.9
0.214,0.9
0.429,0.9
0.643,0.9
0.857,0.9
1.071,0.9
1.286,0.9
1.5,0.9
1.714,0.9
1.929,0.9
2.143,0.9
2.357,0.9
2.571,0.9
2.786,0.9
3,0.9
3.12,0.86
3.24,0.82
3.312,0.716
3.384,0.611
3.4,0.516
3.4,0.484
3.384,0.389
3.312,0.284
3.24,0.18
3.12,0.14
3,0.1
2.786,0.1
2.571,0.1
2.357,0.1
2.143,0.1
1.929,0.1
1.714,0.1
1.5,0.1
1.286,0.1
1.071,0.1
0.857,0.1
0.643,0.1
0.429,0.1
0.214,0.1
0,0.1
-0.074,0.068
-0.1,0
-0.074,-0.068
0,-0.1
0.214,-0.1
0.429,-0.1
0.643,-0.1
0.857,-0.1
1.071,-0.1
1.286,-0.1
1.5,-0.1
1.714,-0.1
1.929,-0.1
2.143,-0.1
2.357,-0.1
2.571,-0.1
2.786,-0.1
3,-0.1
3.12,-0.14
3.24,-0.18
3.312,-0.284
3.384,-0.389
3.4,-0.484
3.4,-0.516
3.384,-0.611
3.312,-0.716
3.24,-0.82
3.12,-0.86
3,-0.9
2.786,-0.9
2.571,-0.9
2.357,-0.9
2.143,-0.9
1.929,-0.9
1.714,-0.9
1.5,-0.9
1.286,-0.9
1.071,-0.9
0.857,-0.9
0.643,-0.9
0.429,-0.9
0.214,-0.9
0,-0.9
-0.143,-0.864
-0.286,-0.828
-0.428,-0.792
-0.537,-0.692
-0.645,-0.592
-0.753,-0.492
-0.802,-0.328
-0.851,-0.164
