"X","Y"
0.083,0.083
0.083,0.167
0.083,0.25
0.083,0.333
0.083,0.417
0.083,0.5
0.083,0.583
0.083,0.667
0.083,0.75
0.083,0.833
0.083,0.917
0.167,0.083
0.167,0.167
0.167,0.25
0.167,0.333
0.167,0.417
0.167,0.5
0.167,0.583
0.167,0.667
0.167,0.75
0.167,0.833
0.167,0.917
0.25,0.083
0.25,0.167
0.25,0.25
0.25,0.333
0.25,0.417
0.25,0.5
0.25,0.583
0.25,0.667
0.25,0.75
0.25,0.833
0.25,0.917
0.333,0.083
0.333,0.167
0.333,0.25
0.333,0.333
0.333,0.417
0.333,0.5
0.333,0.583
0.333,0.667
0.333,0.75
0.333,0.833
0.333,0.917
0.417,0.083
0.417,0.167
0.417,0.25
0.417,0.333
0.417,0.417
0.417,0.5
0.417,0.583
0.417,0.667
0.417,0.75
0.417,0.833
0.417,0.917
0.5,0.083
0.5,0.167
0.5,0.25
0.5,0.333
0.5,0.417
0.5,0.5
0.5,0.583
0.5,0.667
0.5,0.75
0.5,0.833
0.5,0.917
0.583,0.083
0.583,0.167
0.583,0.25
0.583,0.333
0.583,0.417
0.583,0.5
0.583,0.583
0.583,0.667
0.583,0.75
0.583,0.833
0.583,0.917
0.667,0.083
0.667,0.167
0.667,0.25
0.667,0.333
0.667,0.417
0.667,0.5
0.667,0.583
0.667,0.667
0.667,0.75
0.667,0.833
0.667,0.917
0.75,0.083
0.75,0.167
0.75,0.25
0.75,0.333
0.75,0.417
0.75,0.5
0.75,0.583
0.75,0.667
0.75,0.75
0.75,0.833
0.75,0.917
0.833,0.083
0.833,0.167
0.833,0.25
0.833,0.333
0.833,0.417
0.833,0.5
0.833,0.583
0.833,0.667
0.833,0.75
0.833,0.833
0.833,0.917
0.917,0.083
0.917,0.167
0.917,0.25
0.917,0.333
0.917,0.417
0.917,0.5
0.917,0.583
0.917,0.667
0.917,0.75
0.917,0.833
0.917,0.917
0,0
0,0.083
0,0.167
0,0.25
0,0.333
0,0.417
0,0.5
0,0.583
0,0.667
0,0.75
0,0.833
0,0.917
0,1
0.083,1
0.167,1
0.25,1
0.333,1
0.417,1
0.5,1
0.583,1
0.667,1
0.75,1
0.833,1
0.917,1
1,1
1,0.917
1,0.833
1,0.75
1,0.667
1,0.583
1,0.5
1,0.417
1,0.333
1,0.25
1,0.167
1,0.083
1,0
0.917,0
0.833,0
0.75,0
0.667,0
0.583,0
0.5,0
0.417,0
0.333,0
0.25,0
0.167,0
0.083,0
