V1,V2
-0.9,1.10E-16
-0.75344983,0.492253342
-0.428352654,0.791526376
5.51E-17,0.9
3,0.9
3.240296906,0.819777105
3.384207245,0.611286986
3.399675599,0.516106376
3.399675599,0.483893624
3.384207245,0.388713014
3.240296906,0.180222895
3,0.1
6.12E-18,0.1
-0.073572391,0.067728157
-0.1,1.22E-17
-0.1,-1.22E-17
-0.073572391,-0.067728157
6.12E-18,-0.1
3,-0.1
3.240296906,-0.180222895
3.384207245,-0.388713014
3.399675599,-0.483893624
3.399675599,-0.516106376
3.384207245,-0.611286986
3.240296906,-0.819777105
3,-0.9
5.51E-17,-0.9
-0.428352654,-0.791526376
-0.75344983,-0.492253342
-0.9,-1.10E-16
