"","","","f1"
"1",1.46,0.63,2.26229816339745
"2",0.05,-0.11,-0.683298163397448
"3",2.07,-0.72,-2.80699816339745
"4",3.02,0.44,3.80899816339745
"5",2.64,0.74,3.48299816339745
"6",2.24,0.88,3.16979816339745
"7",-0.59,-0.02,-0.00878155067787647
"8",-0.11,-0.3,-0.577106672569082
"9",2.71,-0.44,-3.49179816339745
"10",-0.09,0.56,0.710236306446
"11",0.42,-0.61,-1.19329816339745
"12",-0.52,-0.18,-0.16409481024374
"13",2.21,0.26,3.05299816339745
"14",2.94,0.44,3.72899816339745
"15",0.75,-0.35,-1.51289816339745
"16",2.32,-0.76,-3.03779816339745
"17",1.62,-0.84,-2.28979816339745
"18",2.82,0.75,3.66789816339745
"19",0.44,0.22,1.30379816339745
"20",2.78,0.58,3.57179816339745
"21",0.46,0.37,1.26229816339745
"22",-0.75,-0.04,0.0363926649951378
"23",2.11,-0.51,-2.89529816339745
"24",1.82,0.17,2.71429816339745
"25",0.72,-0.66,-1.47979816339745
"26",0.79,-0.27,-1.52249816339745
"27",1.82,-0.84,-2.48979816339745
"28",0.07,-0.55,-0.852898163397448
"29",1.82,0.78,2.68379816339745
"30",1.67,-0.34,-2.42979816339745
"31",-0.3,0.38,0.451504716505748
"32",2.57,0.12,3.49979816339745
"33",-0.58,0.02,0.0236898253578777
"34",0.97,0.78,1.83379816339745
"35",2.75,0.32,3.56779816339745
"36",-0.75,0.26,0.25316270337013
"37",3.26,0.63,4.06229816339745
"38",1.84,-0.38,-2.61099816339745
"39",1.67,-0.59,-2.44729816339745
"40",2.22,0.82,3.10779816339745
"41",3.08,0.6,3.87539816339745
"42",1.75,0.3,2.57539816339745
"43",-0.12,-0.05,-0.0604955598498808
"44",2.68,0.21,3.54949816339745
"45",2.82,-0.47,-3.60449816339745
"46",0.35,-0.67,-1.10649816339745
"47",1.85,-0.5,-2.63539816339745
"48",0.23,-0.22,-0.936998163397448
"49",2.23,0.89,3.16749816339745
"50",1.12,-0.55,-1.90289816339745
"51",1.26,-0.78,-1.96699816339745
"52",1.37,-0.28,-2.10699816339745
"53",1.19,0.75,2.03789816339745
"54",-0.34,-0.73,-0.474254654205285
"55",3.03,-0.45,-3.81289816339745
"56",0.44,-0.1,-1.06539816339745
"57",2.44,-0.45,-3.22289816339745
"58",0.49,-0.41,-1.26729816339745
"59",2.92,-0.74,-3.64779816339745
"60",-0.72,0.31,0.28388290940663
"61",1.92,0.31,2.74149816339745
"62",-0.21,-0.02,0.036073915731332
"63",1.94,0.75,2.78789816339745
"64",-0.2,-0.17,-0.295835127089243
"65",1.24,0.15,2.14789816339745
"66",1.29,-0.27,-2.02249816339745
"67",0.7,0.13,1.62229816339745
"68",1.81,0.88,2.73979816339745
"69",1.43,-0.47,-2.21449816339745
"70",2.86,0.66,3.67099816339745
"71",3.01,0.23,3.86829816339745
"72",1.24,-0.54,-2.02379816339745
"73",2.81,0.42,3.60179816339745
"74",2.2,0.23,3.05829816339745
"75",0.06,0.55,0.847898163397448
"76",2.74,0.39,3.53749816339745
"77",1.69,0.49,2.47549816339745
"78",2,0.59,2.79349816339745
"79",0.68,0.76,1.53299816339745
"80",2.29,0.44,3.07899816339745
"81",0.69,0.37,1.49229816339745
"82",1.36,0.24,2.21299816339745
"83",1.01,-0.85,-1.67289816339745
"84",-0.42,0.5,0.459475142344136
"85",1.3,-0.83,-1.97649816339745
"86",0.87,-0.61,-1.64329816339745
"87",0.03,0.69,0.851498163397448
"88",2.36,-0.18,-3.04299816339745
"89",2.24,0.54,3.02699816339745
"90",-0.73,-0.09,-0.00586134968956005
"91",2.82,-0.89,-3.45329816339745
"92",-0.3,0.09,0.180619201971617
"93",0.43,-0.65,-1.19289816339745
"94",3.11,-0.75,-3.83289816339745
"95",3.25,0.3,4.07539816339745
"96",2.33,0.42,3.12179816339745
"97",3.21,0.38,4.00979816339745
"98",3.06,0.42,3.85179816339745
"99",-0.52,0.04,0.0388497532186771
"100",0.83,0.47,1.61629816339745
"101",0.85,0.18,1.73779816339745
"102",0.02,0.32,0.837798163397448
"103",1.13,-0.21,-1.83129816339745
"104",1.86,-0.12,-2.50099816339745
"105",1.32,0.15,2.22789816339745
"106",3.31,0.68,4.12779816339745
"107",2.35,0.65,3.15789816339745
"108",1.96,-0.84,-2.62979816339745
"109",0.08,0.23,0.938298163397448
"110",-0.15,0.72,0.738141428474689
"111",0.02,0.28,0.853798163397448
"112",1.8,0.55,2.58789816339745
"113",-0.64,0.03,0.043217617272331
"114",2.93,0.32,3.74779816339745
"115",1.07,0.58,1.86179816339745
"116",0.84,-0.22,-1.54699816339745
"117",0.55,0.36,1.35499816339745
"118",-0.55,0.03,0.0298281539635491
"119",1.93,-0.15,-2.59289816339745
"120",1.6,-0.63,-2.36849816339745
"121",3.32,-0.65,-4.08289816339745
"122",1.5,-0.65,-2.26289816339745
"123",0.86,0.19,1.74149816339745
"124",0.01,-0.3,-0.755398163397448
"125",-0.24,-0.43,-0.530805609276062
"126",2.78,-0.25,-3.50289816339745
"127",2.94,0.86,3.85499816339745
"128",3.24,0.42,4.03179816339745
"129",2.46,-0.3,-3.20539816339745
"130",0.11,0.54,0.896998163397448
"131",0.13,0.88,1.05979816339745
"132",-0.21,-0.79,-0.554725991181962
"133",2.67,-0.45,-3.45289816339745
"134",-0.63,-0.33,-0.19665282297902
"135",0.23,0.82,1.11779816339745
"136",1.12,-0.15,-1.78289816339745
"137",3.01,0.48,3.79579816339745
"138",0.48,0.58,1.27179816339745
"139",0.2,0.25,1.04789816339745
"140",1.24,-0.11,-1.87329816339745
"141",-0.61,-0.08,-0.0519251905554477
"142",1.3,-0.35,-2.06289816339745
"143",1.97,-0.79,-2.67129816339745
"144",-0.35,-0.26,-0.315361579633776
"145",0.52,0.67,1.33429816339745
"146",0.12,0.34,0.930998163397448
"147",1.01,-0.83,-1.68649816339745
"148",1.45,0.86,2.36499816339745
"149",0.64,-0.37,-1.40849816339745
"150",0.88,0.26,1.72299816339745
"151",1.88,0.48,2.66579816339745
"152",1.71,-0.83,-2.38649816339745
"153",0.28,-0.63,-1.04849816339745
"154",0.45,-0.58,-1.22899816339745
"155",3.19,0.7,4.01539816339745
"156",2.59,-0.19,-3.27929816339745
"157",-0.43,-0.7,-0.406592372073225
"158",2.08,-0.16,-2.74979816339745
"159",2.74,-0.7,-3.48539816339745
"160",0.45,0.58,1.24179816339745
"161",3.03,0.24,3.88299816339745
"162",0.02,-0.25,-0.742898163397448
"163",-0.59,0.53,0.451843745113133
"164",-0.02,0.84,0.889257588800913
"165",2.4,-0.3,-3.14539816339745
"166",2.46,-0.62,-3.23099816339745
"167",2.68,-0.49,-3.46529816339745
"168",2.81,0.89,3.74749816339745
"169",1.16,0.2,2.03539816339745
"170",1.93,0.52,2.71579816339745
"171",1.55,-0.8,-2.24539816339745
"172",2.38,-0.88,-3.02099816339745
"173",1.46,-0.84,-2.12979816339745
"174",2.13,0.32,2.94779816339745
"175",1.67,-0.22,-2.37699816339745
"176",1.29,-0.14,-1.94579816339745
"177",-0.6,0.48,0.409395562619835
"178",1.08,0.52,1.86579816339745
"179",1.4,0.61,2.19749816339745
"180",-0.82,-0.03,0.0844668750667918
"181",-0.34,-0.74,-0.471222830564288
"182",-0.02,0.18,0.831761850047752
"183",3.07,0.22,3.93379816339745
"184",-0.46,0.03,0.0340853588025486
"185",1.04,-0.88,-1.68099816339745
"186",0.02,-0.5,-0.805398163397448
"187",1.97,0.53,2.75629816339745
"188",2.14,-0.56,-2.92179816339745
"189",0.5,0.42,1.29179816339745
"190",3.13,0.17,4.02429816339745
"191",2.45,-0.79,-3.15129816339745
"192",0.22,0.6,1.01539816339745
"193",2.34,-0.13,-2.98849816339745
"194",2.24,-0.39,-3.01329816339745
"195",2.88,-0.79,-3.58129816339745
"196",1.98,0.27,2.81829816339745
"197",2.76,-0.54,-3.54379816339745
"198",1.53,-0.66,-2.28979816339745
"199",0.4,0.16,1.30099816339745
"200",2.06,-0.61,-2.83329816339745
"201",1.62,-0.4,-2.39539816339745
"202",2.8,0.6,3.59539816339745
"203",0.99,-0.25,-1.71289816339745
"204",1.3,0.84,2.20099816339745
"205",0.17,0.14,1.08499816339745
"206",0.48,0.1,1.42539816339745
"207",1.92,-0.7,-2.66539816339745
"208",2.4,-0.78,-3.10699816339745
